film,domestic_opening_weekend_usd_millions,domestic_lifetime_total_usd_millions,multiplier
Avengers: Endgame (2019),357.1,858.4,2.40
Spider-Man: No Way Home (2021),260.1,814.3,3.13
Avengers: Infinity War (2018),257.7,678.8,2.63
Spider-Man: Far From Home (2019),92.6,390.5,4.22
Spider-Man: Homecoming (2017),117.0,334.2,2.86
